Country Name,Continent,Image URL,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Benin,Africa,https://flagcdn.com/w80/bj.png,BEN,2517290.0,2559229.0,2604667.0,2652912.0,2704005.0,2757937.0,2814321.0,2873000.0,2934261.0,2998230.0,3065060.0,3134769.0,3207548.0,3283498.0,3362628.0,3445407.0,3532200.0,3623198.0,3718308.0,3818536.0,3925258.0,4038310.0,4156593.0,4278981.0,4405901.0,4538016.0,4675420.0,4818487.0,4967342.0,5121658.0,5281485.0,5446934.0,5617849.0,5872707.0,6096510.0,6226774.0,6391859.0,6583375.0,6789491.0,7002819.0,7221618.0,7445599.0,7675428.0,7913074.0,8159100.0,8426146.0,8693241.0,8953973.0,9228469.0,9509432.0,9797488.0,10093626.0,10397662.0,10708831.0,11030008.0,11360681.0,11697845.0,12039777.0,12383349.0,12726761.0,13070170.0,13413423.0
Bermuda,Americas,https://flagcdn.com/w80/bm.png,BMU,42231.0,43144.0,44260.0,45363.0,46430.0,47484.0,48556.0,49535.0,50426.0,51328.0,52147.0,52628.0,52825.0,52963.0,53076.0,53148.0,53232.0,53345.0,53451.0,53539.0,53692.0,54021.0,54407.0,54800.0,55189.0,55568.0,55908.0,56286.0,56715.0,57148.0,57584.0,58007.0,58430.0,58833.0,59214.0,59549.0,59836.0,60193.0,60659.0,61139.0,61569.0,61887.0,62164.0,62405.0,62576.0,62730.0,62854.0,63031.0,63319.0,63587.0,63748.0,63751.0,63665.0,63594.0,63551.0,63481.0,63466.0,63602.0,63852.0,64130.0,64405.0,64672.0
Bhutan,Asia,https://flagcdn.com/w80/bt.png,BTN,224098.0,230616.0,237648.0,245168.0,252997.0,261210.0,269830.0,278855.0,288319.0,298220.0,308535.0,319218.0,330265.0,341712.0,353547.0,365800.0,378499.0,391649.0,405254.0,419207.0,433412.0,447852.0,462493.0,477472.0,492792.0,508400.0,524327.0,540570.0,557002.0,573592.0,589295.0,599789.0,577779.0,554679.0,554510.0,547996.0,548792.0,558699.0,569438.0,582590.0,596870.0,610803.0,624417.0,637669.0,650558.0,661872.0,670800.0,678643.0,686359.0,693995.0,701639.0,709387.0,717288.0,725283.0,733151.0,740624.0,747878.0,754343.0,759767.0,764829.0,770014.0,775451.0
Bolivia,Americas,https://flagcdn.com/w80/bo.png,BOL,3702323.0,3778735.0,3857496.0,3938913.0,4023009.0,4109799.0,4199555.0,4292573.0,4388949.0,4488234.0,4590008.0,4694351.0,4800986.0,4910200.0,5022480.0,5137540.0,5256495.0,5379168.0,5504131.0,5630853.0,5758905.0,5888113.0,6018091.0,6149065.0,6281868.0,6416194.0,6552481.0,6692169.0,6835508.0,6981771.0,7130142.0,7280293.0,7430337.0,7579196.0,7727321.0,7874676.0,8021742.0,8167910.0,8313399.0,8459812.0,8606331.0,8752740.0,8900357.0,9050704.0,9204297.0,9360758.0,9521685.0,9685962.0,9850858.0,10016280.0,10182345.0,10348932.0,10515813.0,10682612.0,10848889.0,11014707.0,11180019.0,11344592.0,11508370.0,11671386.0,11816300.0,11937369.0
Bosnia and Herzegovina,Europe,https://flagcdn.com/w80/ba.png,BIH,3281387.0,3348040.0,3407536.0,3461944.0,3513444.0,3562843.0,3610569.0,3656227.0,3698804.0,3737769.0,3773247.0,3809388.0,3848277.0,3887374.0,3926472.0,3965749.0,4004560.0,4042136.0,4078246.0,4113302.0,4148428.0,4184221.0,4221104.0,4258735.0,4295539.0,4330362.0,4362114.0,4390248.0,4414409.0,4433986.0,4448659.0,4458350.0,4234620.0,3904484.0,3725411.0,3715565.0,3875246.0,4018228.0,4089357.0,4130312.0,4159785.0,4179446.0,4188007.0,4178524.0,4140990.0,4096494.0,4063271.0,4013421.0,3947546.0,3879798.0,3811480.0,3741800.0,3670108.0,3610858.0,3564831.0,3518541.0,3472997.0,3428684.0,3386999.0,3345534.0,3299352.0,3244909.0
Botswana,Africa,https://flagcdn.com/w80/bw.png,BWA,516173.0,527953.0,540189.0,552977.0,566282.0,574669.0,577876.0,580939.0,583973.0,587078.0,590338.0,600487.0,622416.0,652418.0,685455.0,720389.0,758514.0,799586.0,849246.0,901754.0,937493.0,970002.0,1009271.0,1046147.0,1083665.0,1121954.0,1160655.0,1199181.0,1235487.0,1270281.0,1305699.0,1341767.0,1380038.0,1420120.0,1460030.0,1498843.0,1535918.0,1571699.0,1606906.0,1642006.0,1677384.0,1712264.0,1744765.0,1775743.0,1807153.0,1839881.0,1874527.0,1911202.0,1949972.0,1990671.0,2033110.0,2073537.0,2108614.0,2140687.0,2172052.0,2203276.0,2234783.0,2266748.0,2299148.0,2332081.0,2365895.0,2401449.0
Brazil,Americas,https://flagcdn.com/w80/br.png,BRA,72388123.0,74605442.0,76865320.0,79164239.0,81488598.0,83817586.0,86139354.0,88446120.0,90741242.0,93045769.0,95375656.0,97739280.0,100146796.0,102600971.0,105089675.0,107619568.0,110213352.0,112875286.0,115600942.0,118380820.0,121207450.0,124063113.0,126923156.0,129790082.0,132658862.0,135515593.0,138336371.0,141104946.0,143826358.0,146502977.0,149143224.0,151724253.0,154275077.0,156794574.0,159265011.0,161735079.0,164202549.0,166661663.0,169159651.0,171641544.0,174018276.0,176301200.0,178503483.0,180622688.0,182675143.0,184688101.0,186653099.0,188552310.0,190367297.0,192079956.0,193701931.0,195284736.0,196876114.0,198478291.0,200085126.0,201675534.0,203218108.0,204703440.0,206107265.0,207455459.0,208660845.0,209550291.0
British Virgin Islands,Americas,https://flagcdn.com/w80/vg.png,VGB,7974.0,8059.0,8092.0,8135.0,8192.0,8283.0,8438.0,8671.0,9022.0,9553.0,9966.0,10117.0,10255.0,10388.0,10521.0,10627.0,10733.0,10823.0,10904.0,10986.0,11148.0,11498.0,11944.0,12385.0,12844.0,13290.0,13748.0,14212.0,14703.0,15200.0,15727.0,16207.0,16615.0,17008.0,17430.0,17863.0,18308.0,18783.0,19261.0,19755.0,20265.0,20824.0,21454.0,22155.0,22905.0,23693.0,24519.0,25391.0,26308.0,27239.0,27697.0,28733.0,30369.0,31726.0,32988.0,34522.0,33904.0,32724.0,34682.0,36423.0,37160.0,37833.0
Brunei Darussalam,Asia,https://flagcdn.com/w80/bn.png,BRN,88358.0,92528.0,96738.0,101172.0,105936.0,110856.0,115889.0,121037.0,126238.0,131456.0,135157.0,137930.0,142198.0,147382.0,152667.0,158081.0,163620.0,169287.0,174901.0,180431.0,186121.0,191989.0,198177.0,204754.0,211673.0,218928.0,226510.0,233876.0,240926.0,248077.0,255306.0,262603.0,269848.0,276979.0,284097.0,291207.0,298283.0,305357.0,312398.0,319412.0,326428.0,333353.0,340108.0,346649.0,352921.0,358930.0,364669.0,370884.0,377800.0,384964.0,392340.0,399395.0,405566.0,411206.0,416754.0,422224.0,427573.0,432788.0,437813.0,442687.0,447412.0,451723.0
Bulgaria,Europe,https://flagcdn.com/w80/bg.png,BGR,7862933.0,7938309.0,8008324.0,8073731.0,8140078.0,8202417.0,8258788.0,8311127.0,8370642.0,8435276.0,8490822.0,8538899.0,8579911.0,8624801.0,8682749.0,8723148.0,8759432.0,8804691.0,8813739.0,8824994.0,8859538.0,8887801.0,8912738.0,8933328.0,8952608.0,8958852.0,8963472.0,8976205.0,8985725.0,8936388.0,8822365.0,8695799.0,8559091.0,8466532.0,8416925.0,8357576.0,8291403.0,8217101.0,8138192.0,8067463.0,8000519.0,7928456.0,7861949.0,7804406.0,7749431.0,7695047.0,7640290.0,7586895.0,7535590.0,7488018.0,7437594.0,7380021.0,7317021.0,7264606.0,7223451.0,7177516.0,7127436.0,7075639.0,7024746.0,6975467.0,6933654.0,6877222.0
Burkina Faso,Africa,https://flagcdn.com/w80/bf.png,BFA,4778627.0,4848222.0,4919674.0,4993620.0,5071039.0,5152834.0,5237938.0,5326349.0,5418645.0,5513178.0,5610307.0,5708002.0,5807238.0,5911926.0,6024905.0,6147574.0,6280636.0,6428740.0,6590988.0,6763901.0,6947900.0,7140270.0,7340197.0,7551136.0,7772260.0,7999933.0,8228848.0,8457114.0,8687441.0,8921176.0,9159359.0,9394631.0,9629280.0,9871716.0,10123807.0,10386724.0,10655942.0,10934224.0,11240668.0,11574930.0,11925548.0,12294996.0,12680901.0,13082531.0,13500537.0,13932127.0,14373711.0,14816312.0,15258103.0,15710065.0,16176504.0,16661907.0,17172283.0,17695412.0,18229466.0,18777488.0,19334854.0,19894413.0,20438288.0,20961954.0,21478692.0,21995249.0
